2023-12-17T10:18:13.211+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2023-12-17T10:18:13.211+0530 [INFO]  Main.Core: 
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm listening on /ip4/10.113.18.33/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.17.0.1/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.18.0.1/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm announcing /ip4/10.113.18.33/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5011
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5011/webui
2023-12-17T10:18:18.238+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8090
2023-12-17T10:18:18.239+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-12-17T10:18:18.241+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWFc6fjczqD6xp4KN8xLhDz9UHUGoHH7aF8UYmQcWYj2Gi
2023-12-17T10:18:18.241+0530 [INFO]  Main.Core: Setting up the core
2023-12-17T10:18:18.248+0530 [INFO]  Main.Core: Starting the core
2023-12-17T10:18:18.248+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:31010
2023-12-17T10:18:18.248+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:31010
2023-12-17T10:18:18.248+0530 [INFO]  Main.grpc: GRPC Server created
2023-12-17T10:18:18.249+0530 [INFO]  Main.grpc: Running GRPC server...
2023-12-17T10:18:18.250+0530 [INFO]  Main: Swagger URL : http://localhost:20009/swagger/index.html
2023-12-17T10:18:18.250+0530 [INFO]  Main: Core version : 0.0.9
2023-12-17T10:18:18.250+0530 [INFO]  Main: Starting server...
2023-12-17T10:18:18.250+0530 [INFO]  Main.enswebserver: Starting Server at localhost:20009
2023-12-17T10:18:18.250+0530 [INFO]  Main.enswebserver: Server running at : http://localhost:20009
2023-12-18T09:45:52.650+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-12-18T09:45:52.679+0530 [INFO]  Main.Core: Initializing daemon...
2023-12-18T09:45:52.679+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2023-12-18T09:45:52.679+0530 [INFO]  Main.Core: Repo version: 13
2023-12-18T09:45:52.679+0530 [INFO]  Main.Core: System version: amd64/linux
2023-12-18T09:45:52.679+0530 [INFO]  Main.Core: Golang version: go1.19.8
2023-12-18T09:45:52.724+0530 [INFO]  Main.Core: 
2023-12-18T09:45:52.724+0530 [INFO]  Main.Core: Computed default go-libp2p Resource Manager limits based on:
2023-12-18T09:45:52.724+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxMemory': "8.2 GB"
2023-12-18T09:45:52.724+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxFileDescriptors': 524288
2023-12-18T09:45:52.724+0530 [INFO]  Main.Core: 
2023-12-18T09:45:52.724+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2023-12-18T09:45:52.724+0530 [INFO]  Main.Core: 
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm listening on /ip4/10.113.18.33/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.17.0.1/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.18.0.1/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm announcing /ip4/10.113.18.33/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5011
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5011/webui
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8090
2023-12-18T09:45:57.737+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-12-18T09:45:57.739+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWFc6fjczqD6xp4KN8xLhDz9UHUGoHH7aF8UYmQcWYj2Gi
2023-12-18T09:45:57.739+0530 [INFO]  Main.Core: Setting up the core
2023-12-18T09:45:57.740+0530 [INFO]  Main.Core: Starting the core
2023-12-18T09:45:57.740+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:31010
2023-12-18T09:45:57.741+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:31010
2023-12-18T09:45:57.741+0530 [INFO]  Main.grpc: GRPC Server created
2023-12-18T09:45:57.741+0530 [INFO]  Main.grpc: Running GRPC server...
2023-12-18T09:45:57.742+0530 [INFO]  Main: Swagger URL : http://localhost:20009/swagger/index.html
